ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
19,CAUCA,19318,GUAPI,19318008,LIMONES (GUAPI - CAUCA),2021,6,"8,067","3,358",36.03,viernes,06/25/2021 04:30:00 PM,9.44
19,CAUCA,19318,GUAPI,19318013,SAN ANTONIO DE GUAJUÍ (GUAPI - CAUCA),2021,6,"11,594","3,596",51.1,sábado,06/12/2021 07:30:00 PM,9.57
19,CAUCA,19418,LÓPEZ DE MICAY,19418024,BETANIA - NAYA (LÓPEZ (MICAY) - CAUCA),2021,6,"6,346","2,215",29.52,sábado,06/26/2021 07:45:00 PM,8.54
19,CAUCA,19418,LÓPEZ DE MICAY,19418033,BOCA GRANDE (LÓPEZ (MICAY) - CAUCA),2021,6,"4,352",855,28.76,lunes,06/21/2021 06:45:00 PM,6.6
19,CAUCA,19418,LÓPEZ DE MICAY,19418038,ISLA DE GALLO (LÓPEZ DE MICAY - CAUCA),2021,6,"3,590","1,456",24.58,sábado,06/26/2021 06:30:00 PM,5.58
19,CAUCA,19418,LÓPEZ DE MICAY,19418009,NOANAMITO (LÓPEZ DE MICAY - CAUCA),2021,6,"7,106","2,037",40,sábado,06/26/2021 07:00:00 PM,8.11
19,CAUCA,19418,LÓPEZ DE MICAY,19418015,SAN ISIDRO (LÓPEZ DE MICAY - CAUCA),2021,6,846,316,6.05,viernes,06/04/2021 06:15:00 PM,6.24
19,CAUCA,19418,LÓPEZ DE MICAY,19418019,ZARAGOZA (LOPEZ DE MICAY - CAUCA),2021,6,"11,364","5,167",61.25,viernes,06/25/2021 06:45:00 PM,9.9
19,CAUCA,19809,TIMBIQUÍ,19809014,CHACÓN (TIMBIQUÍ - CAUCA),2021,6,"4,179","1,136",28.46,lunes,06/28/2021 08:00:00 PM,5.58
19,CAUCA,19809,TIMBIQUÍ,19809010,COMUNIDAD DE CHETE (TIMBIQUÍ - CAUCA),2021,6,"4,504","1,512",36.16,jueves,06/03/2021 07:15:00 PM,5.6
19,CAUCA,19809,TIMBIQUÍ,19809003,COTEJE (TIMBIQUÍ - CAUCA),2021,6,"7,137","4,191",33.88,miércoles,06/30/2021 07:00:00 PM,8.21
19,CAUCA,19809,TIMBIQUÍ,19809026,LOS BRAZOS (TIMBIQUÍ - CAUCA),2021,6,"3,521",682,46.56,sábado,06/05/2021 07:45:00 PM,3.3
19,CAUCA,19809,TIMBIQUÍ,19809023,PUERTO SAIJA (TIMBIQUÍ - CAUCA),2021,6,"15,392","5,516",166.85,domingo,06/13/2021 08:15:00 PM,4.53
19,CAUCA,19809,TIMBIQUÍ,19809007,SAN JOSÉ (TIMBIQUÍ - CAUCA),2021,6,"7,047","4,288",40.94,domingo,06/20/2021 06:45:00 PM,6.51
19,CAUCA,19809,TIMBIQUÍ,19809008,SANTA MARÍA (TIMBIQUÍ - CAUCA),2021,6,"10,462","4,312",66.5,sábado,06/19/2021 07:45:00 PM,6.37
27,CHOCÓ,27006,ACANDÍ,27006000,ACANDÍ (ACANDÍ - CHOCÓ),2021,6,"553,208","210,812","1,179.2",martes,06/29/2021 08:00:00 PM,21.39
27,CHOCÓ,27006,ACANDÍ,27006003,CAPURGANÁ (ACANDÍ - CHOCO),2021,6,"282,317","98,813",750.46,domingo,06/13/2021 10:15:00 PM,17.25
27,CHOCÓ,27006,ACANDÍ,27006007,SAN FRANCISCO (ACANDÍ - CHOCÓ),2021,6,"20,512","7,599",117.17,sábado,06/12/2021 07:30:00 PM,7.53
27,CHOCÓ,27025,ALTO BAUDÓ (PIE DE PATO),27025000,CIUDAD BAUDÓ - PIE DE PATO (ALTO BAUDÓ - CHOCÓ),2021,6,"46,537","14,670",109.91,lunes,06/28/2021 07:30:00 PM,23.58
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075000,CIUDAD MUTIS (BAHÍA SOLANO - CHOCÓ),2021,6,"638,399","234,941","1,239.92",jueves,06/10/2021 07:00:00 PM,23.51
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075001,CUPICA (BAHÍA SOLANO - CHOCÓ),2021,6,"56,613","20,817",136.68,jueves,06/24/2021 07:45:00 PM,23.36
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075002,EL VALLE (BAHÍA SOLANO - CHOCÓ),2021,6,"148,007","60,770",325.78,martes,06/08/2021 07:15:00 PM,23.52
27,CHOCÓ,27077,BAJO BAUDÓ (PIZARRO),27077905,BUENAVISTA (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2021,6,"5,274",863,25.15,sábado,06/19/2021 07:00:00 PM,8.8
27,CHOCÓ,27077,BAJO BAUDÓ (PIZARRO),27077000,PIZARRO (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2021,6,"192,293","92,453",373.82,jueves,06/03/2021 07:15:00 PM,23.59
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099000,BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCÓ),2021,6,"89,218","26,542",246.51,martes,06/29/2021 07:30:00 PM,17.17
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099002,LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCÓ),2021,6,"12,198","5,787",57.6,martes,06/01/2021 02:15:00 PM,10.6
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099005,NAPIPÍ (BOJAYÁ (BELLAVISTA) - CHOCÓ),2021,6,"11,897","3,596",60.8,miércoles,06/30/2021 08:45:00 PM,7.24
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099008,PUERTO CONTO (BOJAYÁ (BELLAVISTA) - CHOCO),2021,6,"13,748","3,748",69.6,sábado,06/19/2021 07:30:00 PM,7.48
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,27250000,SANTA GENOVEVA DE DOCORDÓ (EL LITORAL DEL SAN JUAN - CHOCÓ),2021,6,"71,708","39,399",170.15,sábado,06/19/2021 11:30:00 AM,18.49
27,CHOCÓ,27372,JURADÓ,27372000,JURADÓ (JURADÓ - CHOCÓ),2021,6,"150,303","68,540",289.44,lunes,06/28/2021 07:30:00 PM,23.57
27,CHOCÓ,27425,MEDIO ATRATO (BETÉ),27425000,BETÉ (MEDIO ATRATO (BETÉ) - CHOCÓ),2021,6,"19,853","10,197",76,sábado,06/12/2021 08:00:00 PM,12.15
27,CHOCÓ,27495,NUQUÍ,27495001,ARUSÍ (NUQUÍ - CHOCO),2021,6,"10,799","5,055",48,martes,06/29/2021 07:15:00 PM,9.57
27,CHOCÓ,27495,NUQUÍ,27495912,COMUNIDAD INDÍGENA DE PANGUÍ - EL YUCAL (NUQUÍ - CHOCÓ),2021,6,"7,572","2,492",11.6,lunes,06/28/2021 12:45:00 AM,23.45
27,CHOCÓ,27495,NUQUÍ,27495000,NUQUÍ (NUQUÍ - CHOCÓ),2021,6,"229,898","69,451",468.86,martes,06/29/2021 07:30:00 PM,23.56
27,CHOCÓ,27495,NUQUÍ,27495011,PUERTO JAGUA (NUQUÍ - CHOCÓ),2021,6,919,389,3.84,martes,06/15/2021 07:45:00 PM,10.18
27,CHOCÓ,27001,QUIBDÓ,27001029,TAGACHI (QUIBDÓ - CHOCÓ),2021,6,"8,670","3,002",41.09,sábado,06/12/2021 01:15:00 PM,8.41
27,CHOCÓ,27800,UNGUÍA,27800001,BALBOA (UNGUÍA - CHOCÓ),2021,6,"20,048","8,075",88.04,sábado,06/05/2021 06:45:00 PM,10.5
27,CHOCÓ,27800,UNGUÍA,27800005,TITUMATE (UNGUÍA - CHOCÓ),2021,6,"15,235","4,545",89.41,sábado,06/19/2021 09:45:00 PM,7.51
27,CHOCÓ,27800,UNGUÍA,27800000,UNGUÍA (UNGUÍA - CHOCÓ),2021,6,"375,976","132,286",868.56,miércoles,06/16/2021 08:00:00 PM,21.12
91,AMAZONAS,91001,LETICIA,91001000,LETICIA (LETICIA - AMAZONAS),2021,7,"3,468,354","1,081,769","6,995.84",viernes,07/23/2021 02:30:00 PM,24
91,AMAZONAS,91540,PUERTO NARIÑO,91540000,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2021,7,"101,229","35,227",216.48,viernes,07/09/2021 07:00:00 PM,24
91,AMAZONAS,91798,TARAPACÁ (ANM),91798000,TARAPACÁ (TARAPACÁ (ANM) - AMAZONAS),2021,7,"22,753","10,194",83.81,viernes,07/23/2021 07:30:00 PM,10.16
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873002,VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA),2021,7,"5,563",339,41.95,miércoles,07/07/2021 07:15:00 PM,8.15
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873000,VIGÍA DEL FUERTE (VIGÍA DEL FUERTE - ANTIOQUIA),2021,7,"107,662","47,536",312.22,miércoles,07/07/2021 07:15:00 PM,12.59
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88001,SAN ANDRÉS,88001000,SAN ANDRÉS (SAN ANDRÉS - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2021,7,"17,991,705","4,904,871","29,462.66",lunes,07/19/2021 03:45:00 PM,24
